PRECO;PRECO_ESTIMADO
4935000;4886074.114111637
4907000;4227545.630843674
4900000;5035781.788773297
4900000;5177247.399532829
4900000;3852706.7523142495
4900000;4146085.7055469234
4900000;4332897.829575292
4900000;4974064.194989967
4900000;5188385.536258659
4900000;4671551.637029822
4900000;4085318.7038572193
4900000;3486975.717533862
4900000;4912550.7761316635
4900000;6009421.792776553
4893000;6190137.112690037
4893000;4648653.359423155
4865000;3410956.548154501
4830000;4092268.3798367945
4830000;4753659.142105818
4830000;6406866.015787877
4830000;4455783.743996572
4795000;4655329.521642716
4795000;7813225.536748439
4767000;4388717.968903745
4760000;6064877.580291694
4760000;5924201.106698832
4760000;6090554.222434603
4753000;5226271.49326768
4690000;5918378.704313828
4690000;5150070.522682309
4690000;4247113.31548357
4690000;7227147.083778795
4690000;4508812.564440841
4690000;3728495.465722914
4655000;4303904.275304534
4620000;4605040.647751094
4620000;5516001.868684705
4620000;5671453.386365537
4620000;4937547.925760561
4620000;4456679.765798153
4613000;5141801.644940453
4585000;4179620.610877427
4585000;4529346.129075957
4550000;3668898.119526185
4550000;4483369.64449404
4550000;4017552.2810062096
4550000;5612473.888382335
4550000;4308867.83566325
4550000;3536795.3858579267
4550000;7003206.679921288
4543000;4801594.505675778
4543000;5771592.334266171
4515000;4214716.257766086
4515000;4082864.6100614285
4515000;4517602.72382353
4515000;4208667.637551012
4480000;5242346.193262756
4480000;4202066.86536857
4480000;4486124.863214018
4480000;4282156.573888134
4480000;4038855.354077785
4473000;5236335.558621553
4473000;4675333.099111301
4473000;3605349.7988306405
4445000;4000635.7597121815
4410000;3415309.8260690724
4410000;4342476.536781467
4403000;3992801.7809013827
4403000;4197489.8334819935
4403000;4249725.4419292705
4382000;4734772.732515316
4375000;3420599.3949452285
4340000;5842523.864781003
4340000;3588544.4984084023
4340000;4779366.889865765
4340000;4454156.781333652
4340000;4397692.060369719
4319000;3675465.7519854014
4305000;3427909.4630463324
4305000;5394490.853004905
4277000;5222307.654707468
4270000;3741420.6671718513
4270000;3922232.672494812
4270000;3992236.3033782043
4270000;3947070.6978166047
4270000;4047225.8625153317
4270000;4385796.310270482
4235000;4900867.158972794
4235000;4003392.7656951863
4200000;4500517.876567651
4200000;4882182.6478659455
4200000;5116856.974030955
4200000;4524078.862543586
4200000;4382085.064518161
4200000;3927662.0082330517
4200000;2852313.2527407785
4200000;4227912.258321588
4200000;3021605.787046355
4200000;4869563.731875724
4200000;4075386.830011772
4200000;4680871.859548343
4200000;4902137.956108864
4200000;4351062.939570058
4200000;4146161.8447933723
4200000;4454343.850977869
4200000;3725104.5059487787
4193000;5051319.070105015
4193000;3897476.5451773573
4165000;4230555.433942772
4165000;4354944.610407625
4165000;4532185.421897435
4130000;4658571.950768985
4130000;4080947.7791981613
4123000;4011075.193650252
4098500;4894726.293750428
4095000;4363176.026824614
4095000;3951010.8860425334
4095000;4105473.6523996703
4060000;4370157.836163679
4060000;5012368.469656781
4060000;3194872.172755119
4060000;5981771.0686737
4060000;5101220.690124432
4025000;4770251.851850011
4025000;5039852.9458323
4025000;4368387.5355859995
4007500;4731201.018292399
4007500;4377731.333766778
3990000;3139106.4727476705
3990000;5020270.651074171
3990000;4731201.018292399
3990000;3863531.3545475868
3990000;4942101.350741824
3920000;6716517.306980392
3920000;5117190.611387538
3920000;3483140.997916711
3920000;3400120.3310618056
3920000;4933233.556987485
3920000;5400596.872689564
3920000;4225933.427048965
3885000;4617190.971642564
3885000;4481558.20573714
3850000;4927057.624621716
3850000;4038044.8671589633
3850000;5324932.995101334
3850000;3044725.1787637467
3850000;2989611.405802563
3850000;4277418.386768028
3850000;4279355.789257023
3836000;3288805.59003805
3815000;3013977.8846570887
3780000;3919258.6796095567
3780000;4325581.86051361
3780000;2929705.1308447546
3780000;3185864.9106488125
3780000;4746767.498233769
3780000;4536760.123164158
3773000;4895165.078561316
3773000;4279920.310891096
3773000;4669778.35293392
3745000;3439365.9138294263
3710000;3045849.6583970035
3710000;3035140.1747704973
3710000;3597442.340471592
3710000;3187886.686561701
3710000;3449009.6656138957
3703000;4227138.59499929
3703000;3523361.826325428
3675000;3579136.4618532453
3675000;3355208.0129125468
3675000;3118752.0660161986
3675000;3080055.3916376457
3640000;4402177.025295624
3640000;4111619.622041177
3640000;3718377.5646227226
3640000;4242165.112566799
3640000;3627625.0838809204
3640000;4457321.647269649
3640000;5084015.826421851
3640000;3899512.883823242
3640000;5676851.912697821
3633000;3871599.6977115152
3605000;3233212.1887281165
3605000;3563970.965741668
3570000;4161327.3409049497
3570000;5902764.159408213
3570000;2995929.713001483
3570000;2661085.9420184107
3535000;3412260.1856914028
3500000;4476794.443599889
3500000;3360693.11998742
3500000;3954385.6256819367
3500000;3414962.786281492
3500000;3983659.8187312977
3500000;3720369.8467496326
3500000;3355883.5193307777
3500000;3107320.4474888397
3500000;3918749.5214382033
3500000;3245794.3871745947
3500000;3937697.3735860744
3500000;3540196.0694134566
3500000;4222647.975583724
3500000;3475333.9765410232
3500000;6220428.50597433
3500000;3197846.1656403746
3500000;4978402.338883461
3493000;3660224.494776462
3465000;2609947.8521515466
3465000;4186780.3498554872
3465000;4576394.052253762
3430000;3025555.170777248
3430000;3252909.4943036325
3430000;2799251.681018221
3430000;4576394.052253762
3430000;4141791.128348019
3430000;4700728.523482069
3423000;2756935.9819509042
3395000;6099231.500030136
3395000;3808302.462979572
3395000;3089640.395630895
3360000;4722120.649613616
3360000;4262384.384037102
3360000;3385472.4488728484
3360000;2927069.8028310803
3360000;3164830.4714483363
3360000;2775289.171035098
3360000;3699207.556636224
3360000;4085511.797101528
3353000;2652449.001340514
3332000;4458919.91053898
3325000;3063440.234287495
3325000;3718115.8253328092
3290000;2784643.3816189794
3290000;4524324.430215103
3290000;4792364.469150474
3290000;3386217.2453866815
3290000;3760768.5450182995
3290000;2756935.9819509042
3290000;4458919.91053898
3290000;3592194.8860122166
3255000;2845579.452208592
3255000;2430788.9524851954
3234000;3938033.6542450213
3220000;3533223.191865908
3220000;3435026.9208087903
3220000;2918591.461791219
3220000;3362458.002205077
3150000;2956267.1586277094
3150000;4780993.228147335
3150000;3097846.6695980206
3150000;3661328.0599343968
3150000;3073546.9690613416
3150000;4082864.6100614285
3150000;3684524.195313141
3150000;5533900.101577295
3150000;2830764.262351367
3143000;4260892.776736417
3129000;3685327.287461263
3118850;3267936.023847283
3115000;2992300.3995698476
3115000;3408618.1399536664
3115000;2627538.428042038
3087000;4036318.1396023044
3080000;4444005.905728343
3080000;3473959.962794864
3080000;3564279.001003974
3080000;4584376.968331343
3045000;2699425.957991408
3010000;3204918.988417249
3010000;3540651.021876207
3010000;2746391.9294738607
3010000;3319680.4914688794
3010000;2793243.784927041
3010000;3384655.629970543
3010000;4641462.0358554125
3003000;3717832.632274152
2975000;3901674.584776108
2961000;3395296.5298814597
2940000;4686264.909173388
2940000;2977391.0737956394
2940000;3355427.848848176
2940000;3151145.570536711
2940000;3604877.029688021
2940000;2564604.533305262
2940000;2941092.30158753
2940000;4349385.733806621
2870000;2217522.6136353975
2870000;2658689.6910200985
2870000;3504805.3704397157
2870000;3867881.5127273304
2852500;4429322.951696529
2835000;3561744.511718399
2835000;4058285.2100880425
2835000;2856731.279651979
2800000;3919464.5897134393
2800000;3254164.895612141
2730000;3418301.2574851094
2730000;3751066.1572649423
2695000;2747350.9779576547
2660000;2731535.7213687934
2660000;3155671.430050226
2660000;5033386.818223931
2660000;2547645.3261954254
2660000;2159195.770773596
2660000;3207454.371201597
2660000;3113399.6388124996
2653000;3336419.311522899
2653000;4141080.2268208
2604000;2186371.350657337
2590000;2651500.9380251616
2590000;2843201.0178901483
2590000;4898404.128816418
2520000;2267027.0656976514
2520000;2338914.595647021
2520000;3545646.7906743507
2485000;3540411.9448608453
2485000;3183352.729432438
2450000;3747150.3932823394
2450000;3115046.4326103143
2450000;2814230.130463012
2450000;3170632.9747141176
2450000;3558002.5207513366
2450000;3633963.84733322
2408000;2360099.5480349814
2380000;3507688.0812982046
2380000;4387385.541503465
2380000;2570986.9044818664
2345000;2661085.9420184107
2310000;2550858.3960960433
2275000;2699110.5034788474
2275000;2352529.4884431935
2275000;3929265.469154077
2240000;2845518.4520406383
2233000;4081853.924146105
2135000;2295782.0776773994
2100000;3061161.7451983774
2100000;3292781.2731323694
2100000;2988339.6344375075
1960000;3181480.014612466
1890000;2893424.175316514
1890000;2663242.5679168915
1855000;2512045.6109804264
1820000;3700471.1680555167
1767150;2430211.2105982527
1750000;2656293.440021786
1750000;2702770.2723050728
1750000;3408618.1399536664
