ID_RESIDENCIA;AREA;QUARTOS;BANHEIROS;ANDARES;FLAG_CENTRO;FLAG_QUARTO_HOSPEDE;FLAG_PORAO;FLAG_AGUA_MORNA;FLAG_AR_CONDICIONADO;VAGAS_ESTACIONAMENTO;FLAG_AREA_PREFERENCIAL;MOBILIADA;PRECO;PRECO_ESTIMADO
A25;8800;3.0;2.0;2;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;8575000;7207617.764177907
A26;6540;4.0;2.0;2;SIM;SIM;SIM;NAO;SIM;2.0;SIM;SIM;8540000;8277321.6638079025
A27;6000;3.0;2.0;4;SIM;SIM;SIM;NAO;SIM;0.0;SIM;PARCIALMENTE;8463000;8219741.378515052
A28;8875;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;1.0;NAO;PARCIALMENTE;8400000;4595330.712257875
A29;7950;;;2;SIM;NAO;;SIM;NAO;2.0;NAO;NAO;8400000;5880236.000199035
A30;5500;4.0;;2;SIM;NAO;SIM;NAO;SIM;1.0;SIM;PARCIALMENTE;8400000;6431131.521453835
A31;7475;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;NAO;8400000;7474432.769761551
A32;7000;3.0;;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;8400000;6837140.266239513
A33;4880;4.0;2.0;2;SIM;NAO;NAO;NAO;SIM;1.0;SIM;SIM;8295000;6856396.584631247
A34;5960;3.0;;2;SIM;SIM;SIM;NAO;NAO;1.0;NAO;NAO;8190000;4867762.94149126
A35;6840;5.0;;2;SIM;SIM;SIM;NAO;SIM;1.0;NAO;SIM;8120000;6673049.879467087
A36;7000;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;8080940;7790015.408833563
A37;7482;3.0;2.0;3;SIM;NAO;NAO;SIM;NAO;1.0;SIM;SIM;8043000;7887053.361346541
A38;9000;4.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;7980000;8400060.588542596
A39;6000;3.0;1.0;4;SIM;SIM;NAO;NAO;SIM;2.0;NAO;NAO;7962500;6658596.629718583
A40;6000;4.0;;4;SIM;NAO;NAO;NAO;SIM;1.0;NAO;PARCIALMENTE;7910000;6454324.235387443
A41;6550;3.0;1.0;2;SIM;NAO;SIM;NAO;SIM;0.0;SIM;SIM;7875000;6316792.512906028
A42;6360;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;0.0;SIM;SIM;7840000;7698675.324031131
A43;6480;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;NAO;7700000;7250583.307492314
A44;6000;4.0;2.0;4;SIM;NAO;NAO;NAO;NAO;2.0;NAO;PARCIALMENTE;7700000;6732993.872579787
A45;6000;4.0;2.0;4;SIM;NAO;NAO;NAO;SIM;1.0;NAO;SIM;7560000;7407199.377981495
A46;6000;3.0;2.0;3;SIM;NAO;NAO;;SIM;0.0;NAO;PARCIALMENTE;7560000;6308016.273141369
A47;6000;;2.0;4;SIM;NAO;NAO;NAO;SIM;1.0;NAO;SIM;7525000;7247102.866150327
A48;6600;3.0;;4;SIM;NAO;NAO;NAO;SIM;3.0;SIM;SIM;7490000;7881081.309207123
A49;4300;3.0;;2;SIM;NAO;SIM;NAO;NAO;1.0;NAO;NAO;7455000;4152902.063433411
A50;7440;;2.0;1;SIM;SIM;SIM;NAO;SIM;0.0;SIM;;7420000;7062677.2507685125
A51;7440;3.0;2.0;4;SIM;NAO;NAO;NAO;NAO;1.0;SIM;NAO;7420000;6972469.31298225
A52;6325;3.0;;4;SIM;NAO;NAO;NAO;SIM;1.0;NAO;;7420000;6367344.382086428
A53;6000;4.0;2.0;4;SIM;SIM;NAO;;SIM;1.0;NAO;SIM;7350000;7748602.861700717
A54;5150;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;7350000;7246340.229654754
A55;6000;3.0;2.0;2;SIM;SIM;NAO;NAO;SIM;1.0;NAO;PARCIALMENTE;7350000;6473682.242732029
A56;6000;3.0;1.0;2;SIM;NAO;NAO;NAO;SIM;1.0;NAO;;7350000;5306876.277810542
A57;11440;4.0;1.0;2;SIM;NAO;SIM;NAO;NAO;1.0;SIM;PARCIALMENTE;7343000;6902808.012296863
A58;9000;4.0;2.0;4;SIM;SIM;NAO;NAO;SIM;;SIM;SIM;7245000;8794107.561180301
A59;7680;4.0;2.0;4;SIM;SIM;NAO;NAO;;1.0;NAO;PARCIALMENTE;7210000;7134416.028572109
A60;6000;3.0;;4;SIM;SIM;;NAO;SIM;1.0;NAO;SIM;7210000;6763103.868667284
A61;6000;3.0;2.0;2;SIM;SIM;;NAO;NAO;1.0;NAO;PARCIALMENTE;7140000;5609011.189977802
A62;8880;2.0;1.0;1;SIM;NAO;NAO;;SIM;;NAO;PARCIALMENTE;7070000;4983091.9161063265
A63;6240;4.0;2.0;2;SIM;NAO;NAO;NAO;SIM;1.0;NAO;SIM;7070000;6473841.772381103
A64;6360;4.0;2.0;3;SIM;NAO;NAO;NAO;SIM;2.0;SIM;SIM;7035000;8000972.53047804
A65;11175;3.0;1.0;1;SIM;NAO;SIM;NAO;SIM;;SIM;SIM;7000000;6863623.084500721
A66;8880;3.0;2.0;2;SIM;NAO;SIM;NAO;SIM;1.0;NAO;SIM;6930000;7295803.494523218
A67;13200;2.0;;1;SIM;NAO;SIM;SIM;NAO;1.0;NAO;SIM;6930000;6900212.249997593
A68;7700;3.0;2.0;1;SIM;NAO;NAO;NAO;NAO;2.0;NAO;NAO;6895000;5179353.773524981
A69;6000;;1.0;1;SIM;NAO;NAO;NAO;SIM;1.0;NAO;SIM;6860000;4940673.216329459
A70;12090;4.0;2.0;2;SIM;NAO;NAO;;NAO;2.0;SIM;SIM;6790000;7931728.688321024
A71;4000;;2.0;2;SIM;NAO;SIM;;SIM;0.0;SIM;PARCIALMENTE;6790000;6441037.781172231
A72;6000;4.0;;4;SIM;NAO;NAO;NAO;SIM;0.0;NAO;NAO;6755000;5841413.24034192
A73;5020;3.0;1.0;4;SIM;NAO;;NAO;SIM;0.0;SIM;NAO;6720000;6149361.787657691
A74;6600;2.0;2.0;4;SIM;NAO;SIM;NAO;NAO;0.0;SIM;SIM;6685000;7116027.59196558
A75;4040;3.0;;2;SIM;NAO;SIM;SIM;NAO;1.0;NAO;SIM;6650000;5493219.585821012
A76;4260;4.0;;2;SIM;NAO;NAO;SIM;NAO;0.0;NAO;PARCIALMENTE;6650000;4869273.588608154
A77;6420;3.0;2.0;3;SIM;NAO;NAO;NAO;SIM;0.0;SIM;SIM;6650000;7218498.061194599
A78;6500;3.0;2.0;3;SIM;NAO;NAO;NAO;SIM;0.0;SIM;SIM;6650000;7236496.007909713
A79;5700;3.0;1.0;1;SIM;SIM;SIM;NAO;SIM;2.0;SIM;;6650000;6481695.846001115
A80;6000;3.0;2.0;3;SIM;SIM;NAO;NAO;SIM;0.0;NAO;SIM;6650000;6776892.418252379
A81;6000;3.0;1.0;2;SIM;NAO;NAO;SIM;NAO;1.0;SIM;PARCIALMENTE;6629000;6107090.532982124
A82;4000;3.0;2.0;2;SIM;NAO;SIM;NAO;SIM;1.0;NAO;PARCIALMENTE;6615000;6070456.083509443
A83;10500;3.0;2.0;1;SIM;NAO;SIM;NAO;SIM;;SIM;SIM;6615000;7537167.890294207
A84;6000;3.0;;4;SIM;NAO;NAO;NAO;SIM;0.0;NAO;PARCIALMENTE;6580000;5976289.514811972
A85;3760;3.0;;2;SIM;NAO;NAO;SIM;NAO;2.0;NAO;;6510000;5232566.32729613
A86;8250;3.0;2.0;3;SIM;NAO;NAO;NAO;SIM;0.0;NAO;SIM;6510000;6941681.185895752
A87;6670;3.0;1.0;3;SIM;NAO;;NAO;NAO;0.0;SIM;NAO;6510000;5162222.663029834
A88;3960;3.0;1.0;1;SIM;NAO;SIM;NAO;NAO;2.0;NAO;;6475000;4195646.062066831
A89;7410;3.0;1.0;1;SIM;SIM;SIM;NAO;SIM;2.0;SIM;NAO;6475000;6571429.170735469
A90;8580;5.0;;2;SIM;NAO;NAO;NAO;NAO;2.0;NAO;SIM;6440000;5788242.900417183
A91;5000;3.0;;2;SIM;NAO;NAO;NAO;SIM;0.0;NAO;PARCIALMENTE;6440000;4763963.735127306
A92;6750;2.0;1.0;1;SIM;SIM;SIM;NAO;NAO;2.0;SIM;SIM;6419000;5820623.993443383
A93;4800;;2.0;4;SIM;SIM;NAO;NAO;SIM;0.0;NAO;SIM;6405000;7000598.940398527
A94;7200;3.0;2.0;1;SIM;NAO;SIM;NAO;SIM;3.0;NAO;PARCIALMENTE;6300000;6932574.646729767
A95;6000;4.0;2.0;4;SIM;NAO;NAO;NAO;NAO;1.0;NAO;PARCIALMENTE;6300000;6415055.663835483
A96;4100;3.0;2.0;3;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;6300000;6516441.456146007
A97;9000;;1.0;1;SIM;NAO;SIM;NAO;NAO;;SIM;SIM;6300000;5509632.855429316
A98;6400;3.0;1.0;1;SIM;SIM;SIM;NAO;SIM;1.0;SIM;PARCIALMENTE;6300000;6321239.671014061
A99;6600;3.0;2.0;3;SIM;NAO;NAO;NAO;SIM;0.0;SIM;NAO;6293000;6836547.993610602
A100;6000;4.0;1.0;3;SIM;SIM;SIM;;NAO;0.0;SIM;NAO;6265000;5901115.847215639
A101;6600;;2.0;1;SIM;NAO;SIM;;SIM;0.0;SIM;NAO;6230000;6237322.540239368
A102;5500;3.0;1.0;3;SIM;NAO;NAO;;NAO;;SIM;NAO;6230000;4899002.692321284
A103;5500;3.0;2.0;4;SIM;SIM;NAO;NAO;SIM;1.0;NAO;PARCIALMENTE;6195000;7348546.521508299
A104;6350;3.0;2.0;3;SIM;SIM;;NAO;SIM;0.0;NAO;SIM;6195000;6855633.435131004
A105;5500;3.0;2.0;1;SIM;SIM;SIM;NAO;NAO;2.0;SIM;SIM;6195000;6524905.069053153
A106;4500;3.0;1.0;4;SIM;NAO;;NAO;SIM;;NAO;NAO;6160000;5343855.227602354
A107;5450;4.0;2.0;1;SIM;NAO;SIM;NAO;SIM;;SIM;PARCIALMENTE;6160000;6433671.354341982
A108;6420;3.0;1.0;3;SIM;NAO;SIM;;NAO;0.0;SIM;NAO;6125000;5494105.071919601
A109;3240;4.0;1.0;3;SIM;NAO;NAO;NAO;NAO;1.0;NAO;PARCIALMENTE;6107500;4475048.298088897
A110;6615;4.0;2.0;2;SIM;SIM;NAO;SIM;NAO;1.0;NAO;PARCIALMENTE;6090000;6883832.318700131
A111;6600;3.0;1.0;1;SIM;SIM;SIM;NAO;NAO;2.0;SIM;PARCIALMENTE;6090000;5819501.693791924
A112;8372;;;3;SIM;NAO;NAO;NAO;SIM;2.0;NAO;NAO;6090000;6357156.5432296395
A113;4300;6.0;2.0;2;SIM;NAO;NAO;NAO;NAO;0.0;NAO;SIM;6083000;5174975.326703378
A114;9620;3.0;1.0;1;SIM;NAO;SIM;NAO;NAO;2.0;SIM;SIM;6083000;6284993.359960062
A115;6800;;1.0;1;SIM;SIM;SIM;NAO;NAO;;NAO;SIM;6020000;4667572.898075797
A116;8000;3.0;1.0;1;SIM;SIM;SIM;;SIM;2.0;SIM;PARCIALMENTE;6020000;6999136.814060656
A117;6900;3.0;2.0;1;SIM;SIM;SIM;NAO;NAO;;SIM;NAO;6020000;5781547.271386042
A118;3700;4.0;1.0;2;SIM;SIM;NAO;;SIM;0.0;NAO;SIM;5950000;5100469.757948869
A119;6420;3.0;1.0;1;SIM;NAO;SIM;NAO;SIM;0.0;SIM;SIM;5950000;5793870.126621099
A120;7020;3.0;1.0;1;SIM;NAO;SIM;NAO;SIM;2.0;SIM;PARCIALMENTE;5950000;6437258.483081281
A121;6540;3.0;1.0;1;SIM;SIM;SIM;;NAO;2.0;SIM;SIM;5950000;5933475.895147375
A122;7231;3.0;1.0;2;SIM;SIM;SIM;NAO;SIM;0.0;SIM;PARCIALMENTE;5950000;6683930.856645877
A123;6254;4.0;2.0;1;SIM;NAO;SIM;NAO;NAO;1.0;SIM;PARCIALMENTE;5950000;6067817.87481896
A124;7320;4.0;2.0;2;SIM;NAO;NAO;NAO;NAO;0.0;NAO;SIM;5950000;5534204.791536618
A125;6525;3.0;2.0;4;SIM;NAO;NAO;NAO;NAO;1.0;NAO;;5950000;6373070.677322254
A126;15600;3.0;;1;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;5943000;7290892.369495723
A127;7160;3.0;1.0;1;SIM;NAO;SIM;;NAO;2.0;SIM;NAO;5880000;5309111.050777285
A128;6500;3.0;;3;SIM;NAO;NAO;;SIM;0.0;NAO;NAO;5880000;5300128.172607351
A129;5500;;1.0;3;SIM;SIM;NAO;NAO;SIM;1.0;NAO;;5873000;6029468.317433165
A130;11460;3.0;1.0;3;SIM;NAO;NAO;NAO;NAO;2.0;SIM;PARCIALMENTE;5873000;7170698.926387144
A131;4800;3.0;1.0;1;SIM;SIM;SIM;NAO;NAO;0.0;NAO;NAO;5866000;3795178.7825049274
A132;5828;;1.0;4;SIM;SIM;NAO;NAO;NAO;0.0;NAO;PARCIALMENTE;5810000;5414326.36033947
A133;5200;3.0;;3;SIM;NAO;NAO;NAO;SIM;0.0;NAO;PARCIALMENTE;5810000;5302634.324787959
A134;4800;3.0;1.0;3;SIM;NAO;NAO;NAO;SIM;0.0;NAO;NAO;5810000;4917671.804911166
A135;7000;3.0;1.0;1;SIM;NAO;SIM;NAO;NAO;2.0;SIM;PARCIALMENTE;5803000;5568087.943648275
A136;6000;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;0.0;NAO;NAO;5775000;6506719.209713018
A137;5400;4.0;2.0;2;SIM;NAO;NAO;NAO;SIM;2.0;NAO;NAO;5740000;6180356.092923701
A138;4640;4.0;1.0;2;SIM;NAO;NAO;;NAO;1.0;NAO;PARCIALMENTE;5740000;4296336.642730534
A139;5000;3.0;1.0;3;SIM;NAO;NAO;NAO;;0.0;NAO;PARCIALMENTE;5740000;4392968.405245945
A140;6360;3.0;1.0;1;SIM;SIM;SIM;NAO;SIM;2.0;SIM;SIM;5740000;6757651.567792594
A141;5800;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;0.0;NAO;NAO;5740000;6461724.342925232
A142;6660;4.0;2.0;2;SIM;SIM;SIM;NAO;NAO;1.0;SIM;PARCIALMENTE;5652500;6994236.660990257
A143;10500;4.0;2.0;2;SIM;NAO;NAO;NAO;NAO;1.0;NAO;PARCIALMENTE;5600000;6440088.72081494
A144;4800;;2.0;3;NAO;NAO;SIM;SIM;NAO;0.0;NAO;NAO;5600000;5833186.528749017
A145;4700;4.0;1.0;2;SIM;SIM;SIM;NAO;SIM;1.0;NAO;SIM;5600000;6031508.293006606
A146;5000;3.0;;4;SIM;NAO;NAO;;NAO;0.0;NAO;SIM;5600000;5014116.789510598
A147;10500;2.0;1.0;1;SIM;NAO;NAO;NAO;NAO;1.0;NAO;PARCIALMENTE;5600000;4800817.493077472
A148;5500;3.0;2.0;2;SIM;NAO;NAO;NAO;NAO;;NAO;PARCIALMENTE;5600000;4837182.330544809
A149;6360;3.0;1.0;3;SIM;NAO;NAO;NAO;NAO;0.0;SIM;PARCIALMENTE;5600000;5387453.405809984
A150;6600;4.0;2.0;1;SIM;NAO;SIM;NAO;NAO;0.0;SIM;PARCIALMENTE;5600000;5827720.785617527
A151;5136;3.0;1.0;2;SIM;SIM;SIM;NAO;SIM;0.0;SIM;NAO;5600000;5917636.8407425955
A152;4400;4.0;1.0;2;SIM;NAO;NAO;NAO;SIM;2.0;SIM;PARCIALMENTE;5565000;6113471.970490815
A153;5400;5.0;1.0;2;SIM;SIM;SIM;NAO;SIM;;SIM;SIM;5565000;6719668.536257813
A154;3300;3.0;;2;SIM;NAO;SIM;;NAO;0.0;NAO;PARCIALMENTE;5530000;3904962.307051394
A155;3650;3.0;2.0;2;SIM;NAO;NAO;NAO;NAO;2.0;NAO;PARCIALMENTE;5530000;5056856.230246394
A156;6100;;2.0;1;SIM;NAO;SIM;NAO;NAO;2.0;SIM;SIM;5530000;6318486.185697289
A157;6900;3.0;;1;SIM;SIM;SIM;NAO;NAO;0.0;SIM;PARCIALMENTE;5523000;5251117.576484996
A158;2817;4.0;2.0;2;NAO;SIM;SIM;NAO;NAO;1.0;NAO;SIM;5495000;5158904.952144226
A159;7980;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;2.0;NAO;PARCIALMENTE;5495000;4711916.892126836
A160;3150;3.0;2.0;1;SIM;SIM;SIM;NAO;SIM;0.0;NAO;SIM;5460000;5536490.113155188
A161;6210;4.0;1.0;4;SIM;SIM;;NAO;SIM;0.0;NAO;SIM;5460000;6652506.781881323
A162;6100;3.0;1.0;3;SIM;SIM;NAO;NAO;SIM;0.0;SIM;PARCIALMENTE;5460000;6535034.615459312
A163;6600;4.0;2.0;2;SIM;SIM;SIM;NAO;NAO;0.0;SIM;PARCIALMENTE;5460000;6662799.992209617
A164;6825;3.0;1.0;1;SIM;SIM;SIM;;SIM;0.0;SIM;PARCIALMENTE;5425000;6098915.554193802
A165;6710;3.0;2.0;2;SIM;SIM;SIM;NAO;NAO;1.0;SIM;SIM;5390000;6972861.527247822
A166;6450;3.0;2.0;1;SIM;SIM;SIM;SIM;NAO;0.0;NAO;NAO;5383000;5968154.316225151
A167;7800;3.0;1.0;1;SIM;NAO;SIM;NAO;SIM;2.0;SIM;NAO;5320000;6317765.6772524305
A168;4600;2.0;;1;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;5285000;4656078.1843363065
A169;4260;4.0;1.0;2;SIM;NAO;SIM;NAO;SIM;0.0;NAO;SIM;5250000;5273177.893609949
A170;6540;4.0;;2;NAO;NAO;NAO;NAO;SIM;0.0;NAO;PARCIALMENTE;5250000;4860812.622721018
A171;5500;3.0;2.0;1;SIM;NAO;SIM;;NAO;0.0;NAO;PARCIALMENTE;5250000;4731632.600046443
A172;10269;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;1.0;SIM;PARCIALMENTE;5250000;5597464.840175838
A173;8400;;1.0;2;SIM;SIM;SIM;NAO;SIM;2.0;SIM;NAO;5250000;7287829.484207878
A174;5300;4.0;2.0;1;SIM;NAO;NAO;NAO;SIM;0.0;SIM;NAO;5250000;5716826.425575422
A175;3800;3.0;1.0;2;;SIM;SIM;;NAO;1.0;SIM;NAO;5250000;5070338.2865902595
A176;9800;4.0;2.0;2;SIM;SIM;;NAO;NAO;2.0;NAO;PARCIALMENTE;5250000;6941948.3795212135
A177;8520;;1.0;1;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;5250000;5825546.746599872
A178;6050;3.0;1.0;1;SIM;NAO;SIM;NAO;NAO;0.0;SIM;PARCIALMENTE;5243000;4718485.908917682
A179;7085;3.0;1.0;1;SIM;SIM;SIM;NAO;NAO;2.0;SIM;PARCIALMENTE;5229000;5928614.245752307
A180;3180;3.0;2.0;2;SIM;NAO;NAO;NAO;NAO;2.0;NAO;PARCIALMENTE;5215000;4951118.293295097
A181;4500;4.0;2.0;1;NAO;NAO;SIM;NAO;SIM;2.0;NAO;PARCIALMENTE;5215000;5757594.1496781055
A182;7200;3.0;1.0;2;SIM;SIM;;NAO;NAO;1.0;SIM;SIM;5215000;5869570.477301132
A183;3410;3.0;;2;NAO;NAO;NAO;;SIM;0.0;NAO;PARCIALMENTE;5145000;3996546.4456609944
A184;7980;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;1.0;SIM;PARCIALMENTE;5145000;5082498.589789623
A185;3000;3.0;2.0;2;SIM;SIM;SIM;NAO;NAO;0.0;NAO;SIM;5110000;5131748.6331829885
A186;3000;3.0;1.0;2;SIM;NAO;SIM;NAO;NAO;0.0;NAO;NAO;5110000;3542497.2205684953
A187;11410;2.0;1.0;2;SIM;NAO;NAO;NAO;NAO;0.0;SIM;SIM;5110000;5997274.218889341
A188;6100;3.0;1.0;1;SIM;NAO;SIM;;SIM;0.0;SIM;PARCIALMENTE;5110000;5594405.678368855
A189;5720;;;2;SIM;NAO;NAO;NAO;SIM;0.0;SIM;NAO;5075000;5319492.375669209
A190;3540;2.0;1.0;1;NAO;SIM;SIM;NAO;NAO;0.0;NAO;PARCIALMENTE;5040000;3236879.297708516
A191;7600;4.0;1.0;2;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;5040000;6272342.594080089
A192;10700;3.0;1.0;2;SIM;SIM;SIM;NAO;NAO;0.0;NAO;PARCIALMENTE;5040000;5911175.861918712
A193;6600;;1.0;1;SIM;SIM;SIM;NAO;NAO;0.0;SIM;SIM;5040000;5311097.937695102
A194;4800;2.0;1.0;1;SIM;SIM;;NAO;NAO;0.0;NAO;PARCIALMENTE;5033000;3541929.064600479
A195;8150;3.0;;1;SIM;SIM;SIM;NAO;NAO;0.0;NAO;PARCIALMENTE;5005000;4843815.587501569
A196;4410;4.0;3.0;2;SIM;NAO;SIM;NAO;NAO;2.0;NAO;PARCIALMENTE;4970000;6601461.709447917
A197;7686;3.0;;1;SIM;SIM;SIM;SIM;NAO;0.0;NAO;PARCIALMENTE;4970000;5715792.898072623
A198;2800;3.0;2.0;2;NAO;NAO;SIM;NAO;SIM;1.0;NAO;PARCIALMENTE;4956000;5390778.784279317
A199;5948;3.0;1.0;2;SIM;NAO;NAO;;SIM;0.0;NAO;PARCIALMENTE;4935000;4977239.403701412
A200;4200;3.0;1.0;2;SIM;NAO;;NAO;NAO;1.0;NAO;SIM;4907000;4164724.0853580222
A201;4520;3.0;;2;SIM;NAO;SIM;NAO;SIM;0.0;NAO;PARCIALMENTE;4900000;5044102.047211118
A202;4095;3.0;1.0;2;NAO;SIM;SIM;;SIM;0.0;NAO;PARCIALMENTE;4900000;4880183.340502886
A203;4120;2.0;1.0;1;SIM;NAO;SIM;NAO;NAO;1.0;NAO;PARCIALMENTE;4900000;3753607.2349215886
A204;5400;4.0;;2;SIM;NAO;NAO;NAO;NAO;0.0;NAO;PARCIALMENTE;4900000;4149378.927779817
A205;4770;3.0;1.0;1;SIM;SIM;SIM;NAO;NAO;0.0;NAO;PARCIALMENTE;4900000;4083402.3387879785
A206;6300;3.0;1.0;1;SIM;NAO;NAO;NAO;SIM;2.0;NAO;PARCIALMENTE;4900000;5198631.063863657
A207;5800;2.0;1.0;1;SIM;SIM;SIM;NAO;SIM;0.0;NAO;PARCIALMENTE;4900000;5019700.443668138
A208;3000;3.0;1.0;2;SIM;NAO;SIM;;SIM;0.0;NAO;PARCIALMENTE;4900000;4702141.059623942
A209;2970;;;3;SIM;NAO;NAO;NAO;NAO;0.0;NAO;PARCIALMENTE;4900000;3936270.5073499135
A210;6720;3.0;1.0;1;SIM;NAO;NAO;;NAO;0.0;NAO;NAO;4900000;3497600.0275739534
A211;4646;;;2;SIM;SIM;SIM;NAO;NAO;;NAO;PARCIALMENTE;4900000;4549181.244252419
A212;12900;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;2.0;NAO;SIM;4900000;5946263.276498165
A213;3420;4.0;2.0;2;SIM;NAO;SIM;NAO;SIM;2.0;NAO;PARCIALMENTE;4893000;6418005.690400336
A214;4995;4.0;2.0;1;SIM;NAO;SIM;;NAO;0.0;NAO;PARCIALMENTE;4893000;4778117.073238449
A215;4350;;1.0;1;SIM;NAO;SIM;NAO;NAO;0.0;NAO;NAO;4865000;3352536.848513186
A216;4160;3.0;1.0;3;SIM;NAO;NAO;NAO;NAO;;NAO;NAO;4830000;3909017.1784360227
A217;6040;3.0;1.0;1;SIM;NAO;NAO;NAO;NAO;2.0;SIM;PARCIALMENTE;4830000;4963986.590692399
A218;6862;;1.0;2;SIM;NAO;NAO;NAO;SIM;2.0;SIM;SIM;4830000;6634734.9302090835
A219;4815;2.0;1.0;1;SIM;NAO;NAO;NAO;SIM;0.0;SIM;PARCIALMENTE;4830000;4757091.15505166
A220;7000;3.0;1.0;2;SIM;NAO;SIM;NAO;NAO;0.0;NAO;NAO;4795000;4442394.556324223
A221;8100;4.0;1.0;4;SIM;NAO;SIM;NAO;SIM;2.0;NAO;PARCIALMENTE;4795000;7632834.537778005
A222;3420;4.0;2.0;2;SIM;NAO;NAO;;NAO;0.0;NAO;PARCIALMENTE;4767000;4529332.227782998
A223;9166;2.0;1.0;1;SIM;NAO;SIM;NAO;SIM;2.0;NAO;PARCIALMENTE;4760000;6071436.98547597
A224;6321;3.0;1.0;2;SIM;NAO;SIM;NAO;SIM;1.0;NAO;SIM;4760000;5894691.692771226
