ID_RESIDENCIA;PRECO;AREA;QUARTOS;BANHEIROS;ANDARES;FLAG_CENTRO;FLAG_QUARTO_HOSPEDE;FLAG_PORAO;FLAG_AGUA_MORNA;FLAG_AR_CONDICIONADO;VAGAS_ESTACIONAMENTO;FLAG_AREA_PREFERENCIAL;MOBILIADA
A41;7875000;6550;3;1;2;SIM;NAO;SIM;NAO;SIM;0;SIM;SIM
A42;7840000;6360;3;2;4;SIM;NAO;NAO;NAO;SIM;0;SIM;SIM
A43;7700000;6480;3;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;NAO
A44;7700000;6000;4;2;4;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A45;7560000;6000;4;2;4;SIM;NAO;NAO;NAO;SIM;1;NAO;SIM
A46;7560000;6000;3;2;3;SIM;NAO;NAO;;SIM;0;NAO;PARCIALMENTE
A47;7525000;6000;;2;4;SIM;NAO;NAO;NAO;SIM;1;NAO;SIM
A48;7490000;6600;3;;4;SIM;NAO;NAO;NAO;SIM;3;SIM;SIM
A49;7455000;4300;3;;2;SIM;NAO;SIM;NAO;NAO;1;NAO;NAO
A50;7420000;7440;;2;1;SIM;SIM;SIM;NAO;SIM;0;SIM;
A51;7420000;7440;3;2;4;SIM;NAO;NAO;NAO;NAO;1;SIM;NAO
A52;7420000;6325;3;;4;SIM;NAO;NAO;NAO;SIM;1;NAO;
A53;7350000;6000;4;2;4;SIM;SIM;NAO;;SIM;1;NAO;SIM
A54;7350000;5150;3;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A55;7350000;6000;3;2;2;SIM;SIM;NAO;NAO;SIM;1;NAO;PARCIALMENTE
A56;7350000;6000;3;1;2;SIM;NAO;NAO;NAO;SIM;1;NAO;
A57;7343000;11440;4;1;2;SIM;NAO;SIM;NAO;NAO;1;SIM;PARCIALMENTE
A58;7245000;9000;4;2;4;SIM;SIM;NAO;NAO;SIM;;SIM;SIM
A59;7210000;7680;4;2;4;SIM;SIM;NAO;NAO;;1;NAO;PARCIALMENTE
A60;7210000;6000;3;;4;SIM;SIM;;NAO;SIM;1;NAO;SIM
A61;7140000;6000;3;2;2;SIM;SIM;;NAO;NAO;1;NAO;PARCIALMENTE
A62;7070000;8880;2;1;1;SIM;NAO;NAO;;SIM;;NAO;PARCIALMENTE
A63;7070000;6240;4;2;2;SIM;NAO;NAO;NAO;SIM;1;NAO;SIM
A64;7035000;6360;4;2;3;SIM;NAO;NAO;NAO;SIM;2;SIM;SIM
A65;7000000;11175;3;1;1;SIM;NAO;SIM;NAO;SIM;;SIM;SIM
A66;6930000;8880;3;2;2;SIM;NAO;SIM;NAO;SIM;1;NAO;SIM
A67;6930000;13200;2;;1;SIM;NAO;SIM;SIM;NAO;1;NAO;SIM
A68;6895000;7700;3;2;1;SIM;NAO;NAO;NAO;NAO;2;NAO;NAO
A69;6860000;6000;;1;1;SIM;NAO;NAO;NAO;SIM;1;NAO;SIM
A70;6790000;12090;4;2;2;SIM;NAO;NAO;;NAO;2;SIM;SIM
A71;6790000;4000;;2;2;SIM;NAO;SIM;;SIM;0;SIM;PARCIALMENTE
A72;6755000;6000;4;;4;SIM;NAO;NAO;NAO;SIM;0;NAO;NAO
A73;6720000;5020;3;1;4;SIM;NAO;;NAO;SIM;0;SIM;NAO
A74;6685000;6600;2;2;4;SIM;NAO;SIM;NAO;NAO;0;SIM;SIM
A75;6650000;4040;3;;2;SIM;NAO;SIM;SIM;NAO;1;NAO;SIM
A76;6650000;4260;4;;2;SIM;NAO;NAO;SIM;NAO;0;NAO;PARCIALMENTE
A77;6650000;6420;3;2;3;SIM;NAO;NAO;NAO;SIM;0;SIM;SIM
A78;6650000;6500;3;2;3;SIM;NAO;NAO;NAO;SIM;0;SIM;SIM
A79;6650000;5700;3;1;1;SIM;SIM;SIM;NAO;SIM;2;SIM;
A80;6650000;6000;3;2;3;SIM;SIM;NAO;NAO;SIM;0;NAO;SIM
A81;6629000;6000;3;1;2;SIM;NAO;NAO;SIM;NAO;1;SIM;PARCIALMENTE
A82;6615000;4000;3;2;2;SIM;NAO;SIM;NAO;SIM;1;NAO;PARCIALMENTE
A83;6615000;10500;3;2;1;SIM;NAO;SIM;NAO;SIM;;SIM;SIM
A84;6580000;6000;3;;4;SIM;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A85;6510000;3760;3;;2;SIM;NAO;NAO;SIM;NAO;2;NAO;
A86;6510000;8250;3;2;3;SIM;NAO;NAO;NAO;SIM;0;NAO;SIM
A87;6510000;6670;3;1;3;SIM;NAO;;NAO;NAO;0;SIM;NAO
A88;6475000;3960;3;1;1;SIM;NAO;SIM;NAO;NAO;2;NAO;
A89;6475000;7410;3;1;1;SIM;SIM;SIM;NAO;SIM;2;SIM;NAO
A90;6440000;8580;5;;2;SIM;NAO;NAO;NAO;NAO;2;NAO;SIM
A91;6440000;5000;3;;2;SIM;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A92;6419000;6750;2;1;1;SIM;SIM;SIM;NAO;NAO;2;SIM;SIM
A93;6405000;4800;;2;4;SIM;SIM;NAO;NAO;SIM;0;NAO;SIM
A94;6300000;7200;3;2;1;SIM;NAO;SIM;NAO;SIM;3;NAO;PARCIALMENTE
A95;6300000;6000;4;2;4;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A96;6300000;4100;3;2;3;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A97;6300000;9000;;1;1;SIM;NAO;SIM;NAO;NAO;;SIM;SIM
A98;6300000;6400;3;1;1;SIM;SIM;SIM;NAO;SIM;1;SIM;PARCIALMENTE
A99;6293000;6600;3;2;3;SIM;NAO;NAO;NAO;SIM;0;SIM;NAO
A100;6265000;6000;4;1;3;SIM;SIM;SIM;;NAO;0;SIM;NAO
A101;6230000;6600;;2;1;SIM;NAO;SIM;;SIM;0;SIM;NAO
A102;6230000;5500;3;1;3;SIM;NAO;NAO;;NAO;;SIM;NAO
A103;6195000;5500;3;2;4;SIM;SIM;NAO;NAO;SIM;1;NAO;PARCIALMENTE
A104;6195000;6350;3;2;3;SIM;SIM;;NAO;SIM;0;NAO;SIM
A105;6195000;5500;3;2;1;SIM;SIM;SIM;NAO;NAO;2;SIM;SIM
A106;6160000;4500;3;1;4;SIM;NAO;;NAO;SIM;;NAO;NAO
A107;6160000;5450;4;2;1;SIM;NAO;SIM;NAO;SIM;;SIM;PARCIALMENTE
A108;6125000;6420;3;1;3;SIM;NAO;SIM;;NAO;0;SIM;NAO
A109;6107500;3240;4;1;3;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A110;6090000;6615;4;2;2;SIM;SIM;NAO;SIM;NAO;1;NAO;PARCIALMENTE
A111;6090000;6600;3;1;1;SIM;SIM;SIM;NAO;NAO;2;SIM;PARCIALMENTE
A112;6090000;8372;;;3;SIM;NAO;NAO;NAO;SIM;2;NAO;NAO
A113;6083000;4300;6;2;2;SIM;NAO;NAO;NAO;NAO;0;NAO;SIM
A114;6083000;9620;3;1;1;SIM;NAO;SIM;NAO;NAO;2;SIM;SIM
A115;6020000;6800;;1;1;SIM;SIM;SIM;NAO;NAO;;NAO;SIM
A116;6020000;8000;3;1;1;SIM;SIM;SIM;;SIM;2;SIM;PARCIALMENTE
A117;6020000;6900;3;2;1;SIM;SIM;SIM;NAO;NAO;;SIM;NAO
A118;5950000;3700;4;1;2;SIM;SIM;NAO;;SIM;0;NAO;SIM
A119;5950000;6420;3;1;1;SIM;NAO;SIM;NAO;SIM;0;SIM;SIM
A120;5950000;7020;3;1;1;SIM;NAO;SIM;NAO;SIM;2;SIM;PARCIALMENTE
A121;5950000;6540;3;1;1;SIM;SIM;SIM;;NAO;2;SIM;SIM
A122;5950000;7231;3;1;2;SIM;SIM;SIM;NAO;SIM;0;SIM;PARCIALMENTE
A123;5950000;6254;4;2;1;SIM;NAO;SIM;NAO;NAO;1;SIM;PARCIALMENTE
A124;5950000;7320;4;2;2;SIM;NAO;NAO;NAO;NAO;0;NAO;SIM
A125;5950000;6525;3;2;4;SIM;NAO;NAO;NAO;NAO;1;NAO;
A126;5943000;15600;3;;1;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A127;5880000;7160;3;1;1;SIM;NAO;SIM;;NAO;2;SIM;NAO
A128;5880000;6500;3;;3;SIM;NAO;NAO;;SIM;0;NAO;NAO
A129;5873000;5500;;1;3;SIM;SIM;NAO;NAO;SIM;1;NAO;
A130;5873000;11460;3;1;3;SIM;NAO;NAO;NAO;NAO;2;SIM;PARCIALMENTE
A131;5866000;4800;3;1;1;SIM;SIM;SIM;NAO;NAO;0;NAO;NAO
A132;5810000;5828;;1;4;SIM;SIM;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A133;5810000;5200;3;;3;SIM;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A134;5810000;4800;3;1;3;SIM;NAO;NAO;NAO;SIM;0;NAO;NAO
A135;5803000;7000;3;1;1;SIM;NAO;SIM;NAO;NAO;2;SIM;PARCIALMENTE
A136;5775000;6000;3;2;4;SIM;NAO;NAO;NAO;SIM;0;NAO;NAO
A137;5740000;5400;4;2;2;SIM;NAO;NAO;NAO;SIM;2;NAO;NAO
A138;5740000;4640;4;1;2;SIM;NAO;NAO;;NAO;1;NAO;PARCIALMENTE
A139;5740000;5000;3;1;3;SIM;NAO;NAO;NAO;;0;NAO;PARCIALMENTE
A140;5740000;6360;3;1;1;SIM;SIM;SIM;NAO;SIM;2;SIM;SIM
A141;5740000;5800;3;2;4;SIM;NAO;NAO;NAO;SIM;0;NAO;NAO
A142;5652500;6660;4;2;2;SIM;SIM;SIM;NAO;NAO;1;SIM;PARCIALMENTE
A143;5600000;10500;4;2;2;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A144;5600000;4800;;2;3;NAO;NAO;SIM;SIM;NAO;0;NAO;NAO
A145;5600000;4700;4;1;2;SIM;SIM;SIM;NAO;SIM;1;NAO;SIM
A146;5600000;5000;3;;4;SIM;NAO;NAO;;NAO;0;NAO;SIM
A147;5600000;10500;2;1;1;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A148;5600000;5500;3;2;2;SIM;NAO;NAO;NAO;NAO;;NAO;PARCIALMENTE
A149;5600000;6360;3;1;3;SIM;NAO;NAO;NAO;NAO;0;SIM;PARCIALMENTE
A150;5600000;6600;4;2;1;SIM;NAO;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A151;5600000;5136;3;1;2;SIM;SIM;SIM;NAO;SIM;0;SIM;NAO
A152;5565000;4400;4;1;2;SIM;NAO;NAO;NAO;SIM;2;SIM;PARCIALMENTE
A153;5565000;5400;5;1;2;SIM;SIM;SIM;NAO;SIM;;SIM;SIM
A154;5530000;3300;3;;2;SIM;NAO;SIM;;NAO;0;NAO;PARCIALMENTE
A155;5530000;3650;3;2;2;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A156;5530000;6100;;2;1;SIM;NAO;SIM;NAO;NAO;2;SIM;SIM
A157;5523000;6900;3;;1;SIM;SIM;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A158;5495000;2817;4;2;2;NAO;SIM;SIM;NAO;NAO;1;NAO;SIM
A159;5495000;7980;3;1;1;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A160;5460000;3150;3;2;1;SIM;SIM;SIM;NAO;SIM;0;NAO;SIM
A161;5460000;6210;4;1;4;SIM;SIM;;NAO;SIM;0;NAO;SIM
A162;5460000;6100;3;1;3;SIM;SIM;NAO;NAO;SIM;0;SIM;PARCIALMENTE
A163;5460000;6600;4;2;2;SIM;SIM;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A164;5425000;6825;3;1;1;SIM;SIM;SIM;;SIM;0;SIM;PARCIALMENTE
A165;5390000;6710;3;2;2;SIM;SIM;SIM;NAO;NAO;1;SIM;SIM
A166;5383000;6450;3;2;1;SIM;SIM;SIM;SIM;NAO;0;NAO;NAO
A167;5320000;7800;3;1;1;SIM;NAO;SIM;NAO;SIM;2;SIM;NAO
A168;5285000;4600;2;;1;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A169;5250000;4260;4;1;2;SIM;NAO;SIM;NAO;SIM;0;NAO;SIM
A170;5250000;6540;4;;2;NAO;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A171;5250000;5500;3;2;1;SIM;NAO;SIM;;NAO;0;NAO;PARCIALMENTE
A172;5250000;10269;3;1;1;SIM;NAO;NAO;NAO;NAO;1;SIM;PARCIALMENTE
A173;5250000;8400;;1;2;SIM;SIM;SIM;NAO;SIM;2;SIM;NAO
A174;5250000;5300;4;2;1;SIM;NAO;NAO;NAO;SIM;0;SIM;NAO
A175;5250000;3800;3;1;2;;SIM;SIM;;NAO;1;SIM;NAO
A176;5250000;9800;4;2;2;SIM;SIM;;NAO;NAO;2;NAO;PARCIALMENTE
A177;5250000;8520;;1;1;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A178;5243000;6050;3;1;1;SIM;NAO;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A179;5229000;7085;3;1;1;SIM;SIM;SIM;NAO;NAO;2;SIM;PARCIALMENTE
A180;5215000;3180;3;2;2;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A181;5215000;4500;4;2;1;NAO;NAO;SIM;NAO;SIM;2;NAO;PARCIALMENTE
A182;5215000;7200;3;1;2;SIM;SIM;;NAO;NAO;1;SIM;SIM
A183;5145000;3410;3;;2;NAO;NAO;NAO;;SIM;0;NAO;PARCIALMENTE
A184;5145000;7980;3;1;1;SIM;NAO;NAO;NAO;NAO;1;SIM;PARCIALMENTE
A185;5110000;3000;3;2;2;SIM;SIM;SIM;NAO;NAO;0;NAO;SIM
A186;5110000;3000;3;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;NAO
A187;5110000;11410;2;1;2;SIM;NAO;NAO;NAO;NAO;0;SIM;SIM
A188;5110000;6100;3;1;1;SIM;NAO;SIM;;SIM;0;SIM;PARCIALMENTE
A189;5075000;5720;;;2;SIM;NAO;NAO;NAO;SIM;0;SIM;NAO
A190;5040000;3540;2;1;1;NAO;SIM;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A191;5040000;7600;4;1;2;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A192;5040000;10700;3;1;2;SIM;SIM;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A193;5040000;6600;;1;1;SIM;SIM;SIM;NAO;NAO;0;SIM;SIM
A194;5033000;4800;2;1;1;SIM;SIM;;NAO;NAO;0;NAO;PARCIALMENTE
A195;5005000;8150;3;;1;SIM;SIM;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A196;4970000;4410;4;3;2;SIM;NAO;SIM;NAO;NAO;2;NAO;PARCIALMENTE
A197;4970000;7686;3;;1;SIM;SIM;SIM;SIM;NAO;0;NAO;PARCIALMENTE
A198;4956000;2800;3;2;2;NAO;NAO;SIM;NAO;SIM;1;NAO;PARCIALMENTE
A199;4935000;5948;3;1;2;SIM;NAO;NAO;;SIM;0;NAO;PARCIALMENTE
A200;4907000;4200;3;1;2;SIM;NAO;;NAO;NAO;1;NAO;SIM
A201;4900000;4520;3;;2;SIM;NAO;SIM;NAO;SIM;0;NAO;PARCIALMENTE
A202;4900000;4095;3;1;2;NAO;SIM;SIM;;SIM;0;NAO;PARCIALMENTE
A203;4900000;4120;2;1;1;SIM;NAO;SIM;NAO;NAO;1;NAO;PARCIALMENTE
A204;4900000;5400;4;;2;SIM;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A205;4900000;4770;3;1;1;SIM;SIM;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A206;4900000;6300;3;1;1;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A207;4900000;5800;2;1;1;SIM;SIM;SIM;NAO;SIM;0;NAO;PARCIALMENTE
A208;4900000;3000;3;1;2;SIM;NAO;SIM;;SIM;0;NAO;PARCIALMENTE
A209;4900000;2970;;;3;SIM;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A210;4900000;6720;3;1;1;SIM;NAO;NAO;;NAO;0;NAO;NAO
A211;4900000;4646;;;2;SIM;SIM;SIM;NAO;NAO;;NAO;PARCIALMENTE
A212;4900000;12900;3;1;1;SIM;NAO;NAO;NAO;NAO;2;NAO;SIM
A213;4893000;3420;4;2;2;SIM;NAO;SIM;NAO;SIM;2;NAO;PARCIALMENTE
A214;4893000;4995;4;2;1;SIM;NAO;SIM;;NAO;0;NAO;PARCIALMENTE
A215;4865000;4350;;1;1;SIM;NAO;SIM;NAO;NAO;0;NAO;NAO
A216;4830000;4160;3;1;3;SIM;NAO;NAO;NAO;NAO;;NAO;NAO
A217;4830000;6040;3;1;1;SIM;NAO;NAO;NAO;NAO;2;SIM;PARCIALMENTE
A218;4830000;6862;;1;2;SIM;NAO;NAO;NAO;SIM;2;SIM;SIM
A219;4830000;4815;2;1;1;SIM;NAO;NAO;NAO;SIM;0;SIM;PARCIALMENTE
A220;4795000;7000;3;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;NAO
A221;4795000;8100;4;1;4;SIM;NAO;SIM;NAO;SIM;2;NAO;PARCIALMENTE
A222;4767000;3420;4;2;2;SIM;NAO;NAO;;NAO;0;NAO;PARCIALMENTE
A223;4760000;9166;2;1;1;SIM;NAO;SIM;NAO;SIM;2;NAO;PARCIALMENTE
A224;4760000;6321;3;1;2;SIM;NAO;SIM;NAO;SIM;1;NAO;SIM
A225;4760000;10240;2;1;1;SIM;NAO;;NAO;SIM;2;SIM;NAO
A226;4753000;6440;2;1;1;SIM;NAO;NAO;NAO;SIM;3;NAO;PARCIALMENTE
A227;4690000;5170;3;1;4;SIM;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A228;4690000;6000;2;1;1;SIM;NAO;SIM;NAO;SIM;1;NAO;SIM
A229;4690000;3630;3;1;2;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A230;4690000;9667;4;2;2;SIM;SIM;SIM;NAO;NAO;1;NAO;PARCIALMENTE
A231;4690000;5400;2;;2;SIM;NAO;NAO;;NAO;0;SIM;PARCIALMENTE
A232;4690000;4320;3;1;1;SIM;NAO;NAO;NAO;NAO;0;SIM;PARCIALMENTE
A233;4655000;3745;3;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;SIM
A234;4620000;4160;3;1;1;SIM;SIM;SIM;NAO;SIM;0;NAO;NAO
A235;4620000;3880;3;2;2;SIM;NAO;SIM;NAO;NAO;2;NAO;PARCIALMENTE
A236;4620000;5680;3;;2;SIM;SIM;NAO;;SIM;1;NAO;PARCIALMENTE
A237;4620000;2870;2;1;2;SIM;SIM;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A238;4620000;5010;3;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A239;4613000;4510;;2;2;SIM;NAO;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A240;4585000;4000;;1;2;SIM;NAO;NAO;NAO;NAO;1;NAO;SIM
A241;4585000;3840;;1;2;SIM;NAO;NAO;NAO;NAO;1;SIM;
A242;4550000;3760;;1;1;SIM;NAO;NAO;NAO;NAO;2;NAO;PARCIALMENTE
A243;4550000;3640;;1;2;SIM;NAO;NAO;NAO;SIM;0;NAO;SIM
A244;4550000;2550;3;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;SIM
A245;4550000;5320;3;1;2;SIM;SIM;SIM;NAO;NAO;0;SIM;PARCIALMENTE
A246;4550000;5360;3;1;2;SIM;NAO;NAO;;NAO;;SIM;NAO
A247;4550000;3520;3;1;1;SIM;NAO;NAO;NAO;NAO;0;SIM;PARCIALMENTE
A248;4550000;8400;4;1;4;SIM;NAO;NAO;NAO;NAO;3;NAO;
A249;4543000;4100;2;2;1;SIM;SIM;SIM;;NAO;0;NAO;PARCIALMENTE
A250;4543000;4990;4;;2;SIM;SIM;SIM;;NAO;0;SIM;SIM
A251;4515000;3510;3;;3;SIM;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A252;4515000;3450;3;1;2;SIM;NAO;SIM;NAO;NAO;;NAO;PARCIALMENTE
A253;4515000;9860;3;1;1;SIM;NAO;NAO;;NAO;0;NAO;PARCIALMENTE
A254;4515000;3520;2;1;2;SIM;NAO;NAO;NAO;NAO;0;SIM;SIM
A255;4480000;4510;4;1;2;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A256;4480000;5885;2;1;1;SIM;NAO;NAO;NAO;SIM;1;NAO;NAO
A257;4480000;4000;3;1;2;SIM;NAO;NAO;;NAO;2;NAO;SIM
A258;4480000;8250;3;1;1;SIM;NAO;NAO;NAO;NAO;0;NAO;SIM
A259;4480000;4040;3;1;2;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A260;4473000;6360;2;1;1;SIM;NAO;SIM;NAO;SIM;1;NAO;SIM
A261;4473000;3162;3;1;2;SIM;NAO;NAO;;SIM;1;NAO;SIM
A262;4473000;3510;3;1;2;SIM;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A263;4445000;3750;2;1;1;SIM;SIM;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A264;4410000;3968;3;1;2;NAO;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A265;4410000;4900;2;1;2;SIM;NAO;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A266;4403000;2880;3;1;2;SIM;NAO;NAO;NAO;NAO;0;SIM;
A267;4403000;4880;3;1;1;SIM;NAO;NAO;NAO;NAO;2;SIM;NAO
A268;4403000;4920;3;1;2;SIM;NAO;NAO;;NAO;1;NAO;PARCIALMENTE
A269;4382000;4950;4;1;2;SIM;NAO;NAO;NAO;SIM;0;NAO;PARCIALMENTE
A270;4375000;3900;3;;2;SIM;NAO;NAO;NAO;NAO;0;NAO;NAO
A271;4340000;4500;3;2;3;SIM;NAO;NAO;SIM;NAO;;NAO;SIM
A272;4340000;1905;5;1;2;NAO;NAO;SIM;NAO;NAO;0;NAO;PARCIALMENTE
A273;4340000;4075;3;1;1;SIM;SIM;SIM;NAO;NAO;2;NAO;PARCIALMENTE
A274;4340000;3500;4;;2;SIM;NAO;NAO;NAO;NAO;2;NAO;SIM
A275;4340000;6450;4;1;2;SIM;NAO;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A276;4319000;4032;2;1;1;SIM;NAO;SIM;NAO;NAO;0;NAO;SIM
A277;4305000;4400;2;1;1;SIM;NAO;NAO;;NAO;1;NAO;PARCIALMENTE
A278;4305000;10360;2;1;1;SIM;NAO;NAO;;NAO;1;SIM;PARCIALMENTE
A279;4277000;3400;3;1;2;SIM;NAO;SIM;NAO;NAO;2;SIM;PARCIALMENTE
A280;4270000;6360;2;1;1;SIM;NAO;NAO;NAO;NAO;0;NAO;SIM
A281;4270000;6360;2;1;2;SIM;NAO;NAO;;NAO;0;NAO;NAO
A282;4270000;4500;2;1;1;SIM;NAO;NAO;NAO;SIM;;NAO;SIM
A283;4270000;2175;3;;2;NAO;SIM;;NAO;SIM;0;NAO;NAO
A284;4270000;4360;4;1;2;SIM;NAO;;NAO;NAO;0;NAO;SIM
A285;4270000;7770;2;1;1;SIM;NAO;NAO;NAO;NAO;1;NAO;SIM
A286;4235000;6650;3;1;2;;SIM;NAO;NAO;NAO;0;NAO;PARCIALMENTE
A287;4235000;2787;3;1;1;;NAO;SIM;NAO;NAO;0;SIM;SIM
